name,clinic,reception_time,address,rating,num_reviews
Juri Betcher,Kleintierpraxis,"Heute: 09:00–12:00, 15:00–19:00Öffnet später","Steinkühlerweg 84, 44263 Dortmund",5,16.0
 Efrat Bahat-Treidel,Tierarztpraxis Treidel ,Heute: 09:30–13:00Öffnet später,"Hugo Cassirer Str.38 / Sigmund - Bergmann Str. 10, 13587 Berlin",5,15.0
Laura Broschek und Sven Stahlhut,Tierarztpraxis Am Westend,"Heute: 10:00–13:00, 17:00–19:00Öffnet später","Sophie-Charlotten-Str. 22, 14059 Berlin",5,15.0
Dr. Michael Foerster,,"Heute: 10:00–12:00, 17:00–19:00Öffnet später","Birkenstr. 58, 10559 Berlin",5,14.0
Jürgen Pötter und Eva Kirsch,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Kopernikusstr. 4a, 30167 Hannover",5,12.0
Dr. med. vet. Maria Steigmann,VetZentrum Praxis für Kleintiere,"Heute: 09:00–13:00, 15:00–20:00Öffnet später","Wentorfer Str. 101, 21029 Hamburg",5,12.0
Ragna Windisch,,"Heute: 09:00–15:00, 09:00–13:00Öffnet später","Berner Heerweg 110, 22159 Hamburg",5,12.0
Dr. Stephan Hesselmann,,"Heute: 09:00–12:00, 15:00–19:00Öffnet später","Kurfürstenstr. 134, 46147 Oberhausen",5,11.0
Hans-Jürgen Raqué,Tierarztpraxis,"Heute: 09:00–12:00, 15:00–18:00Öffnet später","Walter-Markov-Ring 5, 04288 Leipzig",5,11.0
Dr. Heike Janosch,,"Heute: 10:00–11:00, 16:00–18:00Öffnet später","Gottfried-Keller-Straße 4, 01157 Dresden",5,11.0
Rafael Melner-Biniszkiewicz,,"Heute: 11:00–12:00, 16:00–19:00Öffnet später","Weberstraße 21, 45879 Gelsenkirchen",5,11.0
Dr. Tido Winkler und Barbara Richter,,"Heute: 09:00–11:00, 15:00–18:00Öffnet später","Fritz-Meyer-Scharffenberg-Weg 12a, 18109 Rostock",5,11.0
Tim Glabasnia und Dr. Karin Glabasnia,,"Heute: 10:00–12:00, 16:00–18:30Öffnet später","Seehofstr. 45, 96052 Bamberg",5,10.0
Dr. Stefan Hauck,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Bedburger Weide 13, 47551 Bedburg-Hau",5,10.0
Dr. Siegfried Graf,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Kardinal-Wendel-Str. 13, 81929 München",5,10.0
"Dr. Claudia Kreutzjans, Dr. Natalie Thurek, Dr. Nadja Wilhelmi",Tierärztliche Praxis für Kleintiere,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Erinstr. 27, 44575 Castrop-Rauxel",5,10.0
Dr. Annemarie Leps,,"Heute: 08:30–12:30, 13:30–18:30Öffnet später","Mengeder Str. 17, 46731 Waltrop",5,10.0
Maceij E. Wilk,,"Heute: 09:00–13:00, 16:00–20:00Öffnet später","Hägerweg 12, 33613 Bielefeld",5,10.0
TÄ Juliane Kaftan und Anne Klötzer,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Loschwitzer Str. 3, 01309 Dresden",5,10.0
Dr. Cornelia Maul und Sabine Herget,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Schwarzstr. 3 (Eingang Lilienstr. am deutschen Museum), 81669 München",5,10.0
Oliviero Lombardi,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Britzer Damm 13, 12347 Berlin",5,10.0
Jens Cramer,Tierarztpraxis Cramer,"Heute: 09:00–10:00, 15:00–18:30Öffnet später","Osterfeuerberg 1, 27777 Ganderkesee",5,10.0
Dr. Frank Düsterhöft und Dr. Tanja Gerlach,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Kurt-Schumacher Allee 46, 30851 Langenhagen",5,10.0
Max-Ulrich Röcker,TierGesundheitsZentrum Jena-West,"Heute: 10:00–12:00, 16:00–18:00Öffnet später","Erfurter Str. 50, 07743 Jena",5,9.0
Dr. Thomas Göbel,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Mecklenburgische Str. 27, 14197 Berlin",5,9.0
Dr. Utz Willich,,Heute: 08:00–18:00Öffnet später,"Gewerbestr. 24, 58285 Gevelsberg",5,9.0
Dr. Julian Schlömer,,Heute: 16:00–19:00Öffnet später,"Südstraße 85 (Ecke Wattenscheider Hellweg), 44867 Bochum",5,9.0
Uwe Lenk,Tierarztpraxis,Heute: 08:00–20:00Öffnet später,"Schönfließer Straße 1, 10439 Berlin",5,9.0
Dr. Claudia Watzel,,"Heute: 10:00–12:00, 15:00–19:00Öffnet später","Mont-Cenis-Str. 43, 44623 Herne",5,9.0
Cornelia Seithe,,"Heute: 09:00–11:00, 12:00–15:00Öffnet später","Uckermarkstr. 14, 12621 Berlin",5,9.0
Stefanie Behrens,,Heute: 15:00–18:00Öffnet später,"Bahnhofstraße 27/28, 39179 Barleben",5,9.0
Britta Häsel,,"Heute: 08:00–11:30, 16:00–18:30Öffnet später","Kreuzweg 45, 35423 Lich",5,9.0
Daniel Brandau,Tierarztpraxis Brandau,"Heute: 09:00–12:00, 16:00–18:00Öffnet später","Sterkelshäuser Str. 3, 36211 Alheim",5,9.0
Dr. Martin Sager und Sandra Wingerning,Tierambulatorium in Düsseldorf,"Heute: 10:00–12:00, 15:00–17:00Öffnet später","Harffstr. 25, 40591 Düsseldorf",5,8.0
Dres. Demmler und Wehming,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Wiener Str. 25, 10999 Berlin",5,8.0
Joachim Grusdt,,"Heute: 08:00–12:00, 17:00–18:30Öffnet später","Kieler Str. 85, 24119 Kronshagen",5,8.0
Dr. Nadine Schröder,,"Heute: 10:00–12:00, 16:00–18:00Öffnet später","Hellhörn 18, 25479 Ellerau",5,8.0
Dr. Katja Wiencierz,Tierarztpraxis Vier Seen,"Heute: 10:00–12:00, 15:00–17:00Öffnet später","Schweriner Straße 84b, 23909 Ratzeburg",5,8.0
Dr. Corinna Cornand,,Heute: 10:00–18:00Öffnet später,"Heidberg 45, 22301 Hamburg",5,8.0
Dr. Ulrich Bemm,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Krummenseer Straße 10, 12685 Berlin",5,8.0
Dr. Hartmut Metzlaff und Anke Adami-Metzlaff,,"Heute: 09:00–11:00, 16:00–19:00Öffnet später","Altendorfer Str. 390-392, 45143 Essen",5,8.0
Remon Gehrke,,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Varrelmannstr. 2, 30453 Hannover",5,8.0
Dr. Elke Killing,,"Heute: 10:00–11:00, 17:00–19:00Öffnet später","Gartenweg 27, 59174 Kamen",5,8.0
Uta Döpke,,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Am Alten Freyhof 20, 30900 Wedemark",5,8.0
Dr. Gerd Wilmering,Kleintierpraxis Dr. Wilmering,Heute: 07:30–20:00Öffnet später,"Kaarster Str. 194, 41462 Neuss",5,8.0
Brigitte Stüwe,,"Heute: 10:00–12:00, 16:00–20:00Öffnet später","Alte Bergstraße 18, 45549 Sprockhövel",5,8.0
Sabine Dubielzig,Kleintierpraxis in Fritzlar,"Heute: 08:00–12:00, 15:00–19:00Öffnet später","Wehrenpfad 3, 34560 Fritzlar",5,8.0
Dr. Annette Gaer-Mainzer,,"Heute: 09:00–12:00, 14:30–17:30Öffnet später","Tannenbergstraße 1, 46045 Oberhausen",5,8.0
Dr. Thomas Raabe,,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Meißner Str. 96, 01445 Radebeul",5,8.0
Manfred Seeliger,,"Heute: 09:00–12:00, 15:30–18:30Öffnet später","Kantstr. 47, 04275 Leipzig",5,8.0
Christian Schwering,,"Heute: 08:00–12:00, 15:00–18:30Öffnet später","Gewerbering 12, 34560 Fritzlar",5,8.0
Dr. Bettina Bachem-Drießen,,Heute: 09:00–11:00Öffnet später,"Donnerberg 22, 45357 Essen",5,8.0
Dr. Stephan Henkel und Dr. Fenja Matzen,,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Ringstr. 33, 85764 Oberschleißheim",5,8.0
Holger und Bettina Gesing,,"Heute: 13:30–14:30, 17:00–19:00Öffnet später","Wallücker Weg 2, 32549 Bad Oeynhausen",5,8.0
Dr. Romina Turco und Dr. Tarek El-Kashef,,"Heute: 08:30–13:30, 15:00–19:00Öffnet später","Saseler Chaussee 35, 22391 Hamburg",5,8.0
Guido Johannes Schmuck,,"Heute: 08:00–09:00, 16:00–18:00Öffnet später","Königsberger Str. 16, 36039 Fulda",5,8.0
Tobias Krause,,"Heute: 09:30–12:00, 16:30–19:00Öffnet später","Sedanstr. 23, 12167 Berlin",5,8.0
Dr. Ricarda Häuser,,"Heute: 09:00–12:00, 15:00–19:00Öffnet später","Schürmannstr. 25a, 45136 Essen",5,8.0
Dr. Klaus Sommer,,Heute: 08:00–18:30Öffnet später,"Heiglhofstr. 1a, 81377 München",5,8.0
Silke Knopf,,"Heute: 08:00–12:00, 15:00–18:00Öffnet später","Damaschkeweg 5, 39387 Oschersleben (Bode)",5,8.0
Sybille Schickert,,"Heute: 10:00–12:30, 15:00–18:00Öffnet später","Eichborndamm 267 a, 13435 Berlin",5,8.0
Lutz Borghardt,Tierarztpraxis Niefern,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Hebelstr. 10, 75223 Niefern-Öschelbronn",5,8.0
Uwe Rieger,,"Heute: 09:00–10:00, 16:00–19:30Öffnet später","Alte Dorfstr. 22, 04178 Leipzig",5,7.0
Dr. Stefan Hofmann,Tierarztpraxis Fidelios,Heute: 07:30–19:30Öffnet später,"Gräulinger Str. 80, 40625 Düsseldorf",5,7.0
Dr. Angelika Hoffmann und Dr. med. vet. Julia Hoffmann ,Kleintierpraxis Delmenhorst,Heute: 08:00–20:00Öffnet später,"Bismarckstr. 45, 27749 Delmenhorst",5,7.0
Dr. Alexander Flöck,Tierarztpraxis für Klein- und Heimtiere in Trier,"Heute: 09:00–12:30, 14:00–17:00Öffnet später","Herzogenbuscher Straße 3, 54292 Trier",5,7.0
Tiergesundheitszentrum Dr. Günther Schierz und Dr. Lisa-Marie Bildheim,Tiergesundheitszentrum - Fachtierarztpraxis für Kleintiere Augenheilkunde,"Heute: 09:00–12:00, 15:30–19:00Öffnet später","Künkelstraße 125, 41063 Mönchengladbach",5,7.0
Fachpraxis für Klein und Großtiere Dr. Bernd Düring und Dr. Frank Düring,,"Heute: 09:00–12:00, 16:00–19:00Öffnet später","Alte Hauptstr. 15, 01833 Stolpen",5,7.0
Dr. Vanessa Löbert,,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Otto-Hahn-Str. 9, 37574 Einbeck",5,7.0
Dr. Horst Watzke,Tierarztpraxis am Wildrosengehölz,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Hönower Str. 263, 12623 Berlin",5,7.0
Dr. Hubert Weniger,,Heute: 15:30–18:00Öffnet später,"Adelsheimer Str. 49, 74706 Osterburken",5,7.0
Dr.Hauke Thumann,,"Heute: 08:00–09:00, 11:00–12:00, 14:00–15:00, 17:00–19:00Öffnet später","Neue Burger Str. 22, 25554 Wilster",5,7.0
Dr. Corinna Heidrich,Mobile Tierarztpraxis für Kleintiere,Heute: 10:00–18:00Öffnet später,"Ringstrasse 32, 35075 Gladenbach",5,7.0
Dr. Hubertus A. Meyer,,"Heute: 09:30–12:00, 15:00–20:00Öffnet später","Schillstr. 2, 90491 Nürnberg",5,7.0
Rita Otten,,"Heute: 10:00–12:00, 16:00–18:00Öffnet später","Tomper Str. 116, 41169 Mönchengladbach",5,7.0
Dr. Michael Garner,,"Heute: 09:00–12:00, 14:00–18:30Öffnet später","Eppendorfer Weg 50, 20259 Hamburg",5,7.0
Dr. Georg Heiber und Dr. Caroline Spickschen,,"Heute: 11:00–12:00, 17:00–19:00Öffnet später","Am Maschende 9a, 31234 Edemissen",5,7.0
Dr. Elisabeth Ganter,,"Heute: 10:00–11:00, 16:00–19:00Öffnet später","Auf dem Kampe 11, 30926 Seelze",5,7.0
Dr. Werner Stührenberg,,"Heute: 08:30–13:00, 15:30–19:00Öffnet später","Hermann-Eherls-Str. 16-18, 49082 Osnabrück",5,7.0
Dr. Uwe Küchenmeister,,Heute: 17:30–19:30Öffnet später,"Friedenstraße 60, 16321 Bernau",5,7.0
Maja Firlé,Tierarztpraxis Maja Firlé ,"Heute: 09:30–11:30, 17:00–19:00Öffnet später","Emser Straße 40, 60486 Frankfurt am Main",5,7.0
Nils Olma und Gunter Zeise,,Heute: 10:00–19:00Öffnet später,"Cranachstr. 46, 99423 Weimar",5,7.0
Hiltrud Richter,,"Heute: 15:00–16:00, 18:00–19:00Öffnet später","Lange Straße 64, 27318 Hoya",5,7.0
Dr. Andre Mischke und Dr. Martin Wenzel,Kleintierzentrum Harsefeld,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Weißenfelderstraße 8, 21698 Harsefeld",5,7.0
Kathrin Turban,,"Heute: 10:00–12:00, 17:00–19:00Öffnet später","Carl-Jaeger-Weg 2, 37213 Witzenhausen",5,7.0
Tierklinik Düsseldorf Zentrum,,Heute: 08:00–22:00Öffnet später,"Adlerstraße 63, 40211 Düsseldorf",5,7.0
Dr. Silvio Müller,Tierärztliche Praxis für Pferde und Kleintiere,"Heute: 09:00–11:00, 16:00–18:00Öffnet später","Woltweg 7, 31863 Coppenbrügge",5,7.0
Dr. Anja Kleinschroth,Tierärztliche Praxis für Kleintiere,"Heute: 10:00–12:00, 16:00–19:00Öffnet später","Olgastr. 31, 73728 Esslingen",5,7.0
Svea Lucas,Kleintierpraxis,"Heute: 10:00–12:00, 14:00–18:00Öffnet später","Am Margaretenhof 12, 19057 Schwerin",5,7.0
Norma Weiß,,"Heute: 09:00–11:00, 16:00–19:00Öffnet später","Olvenstedter Chaussee 104, 39130 Magdeburg",5,7.0
Dr. Markus Büker,,Heute geschlossen,"Gutenbergstraße 26, 32756 Detmold",5,7.0
Dr. Kristine Hucke,Tierarztpraxis für Kleintiere,"Heute: 08:30–12:00, 15:30–18:00Öffnet später","Dotzheimer Str. 135a, 65197 Wiesbaden",5,7.0
Dr. Gereon Winkler,,"Heute: 08:00–14:00, 15:00–19:00Öffnet später","Walterscheid-Müller-Str. 9, 53797 Lohmar",5,7.0
Dr. Antina Wappler und Dr. Olaf Wappler,,"Heute: 08:00–12:00, 16:00–18:00Öffnet später","Walbachsmühle 1, 37235 Hessisch Lichtenau",5,7.0
Dr. Michael Schmidt,,"Heute: 09:30–11:30, 15:30–18:00Öffnet später","Katernberger Str. 96, 42115 Wuppertal",5,7.0
Nina Berg,,Heute: 18:00–19:00Öffnet später,"Kattenescher Weg 26, 28277 Bremen",5,7.0
Matthias Müller,Tierarztpraxis Matthias Müller,"Heute: 09:00–13:00, 16:00–20:00Öffnet später","Berliner Straße 11, 13467 Berlin",5,7.0
Dr. Johanna Prem,,"Heute: 10:00–12:00, 16:00–18:00Öffnet später","Winkelner Straße 37, 41169 Mönchengladbach",5,7.0
Linda Kampmann,,"Heute: 09:00–12:00, 16:00–17:30Öffnet später","Asternstr. 5, 47447 Moers",5,7.0
Dr. Steffen Scharfe & Dr. Simone Moritz,,"Heute: 10:00–12:00, 15:00–18:00Öffnet später","Heinrich-Heine-Str. 32, 04178 Leipzig",5,6.0
